Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,id_equipe,id_joueur
Chelsea,Moisés Caicedo,ECU,"MF,DF",22,38,38,3351,37.2,1,2,3,1,0,0,11,0.0,0.8,4,104
Chelsea,Cole Palmer,ENG,"MF,FW",22,37,36,3191,35.5,15,8,23,11,4,5,7,0.0,17.3,4,105
Chelsea,Levi Colwill,ENG,DF,21,35,35,3149,35.0,2,1,3,2,0,0,9,0.0,1.9,4,106
Chelsea,Marc Cucurella,ESP,DF,26,36,33,2988,33.2,5,1,6,5,0,0,10,1.0,2.8,4,107
Chelsea,Enzo Fernández,ARG,MF,23,36,32,2947,32.7,6,7,13,6,0,0,8,0.0,6.1,4,108
Chelsea,Robert Sánchez,ESP,GK,26,32,32,2880,32.0,0,0,0,0,0,0,5,0.0,0.0,4,109
Chelsea,Nicolas Jackson,SEN,FW,23,30,28,2220,24.7,10,5,15,10,0,0,7,1.0,12.3,4,110
Chelsea,Noni Madueke,ENG,FW,22,32,27,2033,22.6,7,3,10,7,0,0,3,0.0,9.6,4,111
Chelsea,Pedro Neto,POR,FW,24,35,24,2269,25.2,4,6,10,4,0,0,8,0.0,3.5,4,112
Chelsea,Malo Gusto,FRA,DF,21,32,19,1862,20.7,0,1,1,0,0,0,4,0.0,1.7,4,113
Chelsea,Jadon Sancho,ENG,FW,24,31,19,1764,19.6,3,4,7,3,0,0,2,0.0,2.2,4,114
Chelsea,Tosin Adarabioyo,ENG,DF,26,22,15,1409,15.7,1,1,2,1,0,0,4,0.0,0.9,4,115
Chelsea,Wesley Fofana,FRA,DF,23,14,14,1172,13.0,0,0,0,0,0,0,7,0.0,0.4,4,116
Chelsea,Reece James,ENG,"DF,MF",24,19,12,1063,11.8,1,1,2,1,0,0,1,0.0,0.4,4,117
Chelsea,Trevoh Chalobah,ENG,DF,25,13,11,910,10.1,0,1,1,0,0,0,2,0.0,0.8,4,118
Chelsea,Roméo Lavia,BEL,MF,20,16,11,797,8.9,0,1,1,0,0,0,4,0.0,0.3,4,119
Chelsea,Christopher Nkunku,FRA,FW,26,27,9,921,10.2,3,2,5,3,0,0,2,0.0,4.8,4,120
Chelsea,Filip Jørgensen,DEN,GK,22,6,6,540,6.0,0,0,0,0,0,0,0,0.0,0.0,4,121
Chelsea,Axel Disasi,FRA,DF,26,6,4,364,4.0,1,0,1,1,0,0,1,0.0,0.3,4,122
Chelsea,João Félix,POR,"FW,MF",24,12,3,369,4.1,1,1,2,1,0,0,2,0.0,2.2,4,123
Chelsea,Benoît Badiashile,FRA,DF,23,5,3,334,3.7,0,0,0,0,0,0,0,0.0,0.0,4,124
Chelsea,Kiernan Dewsbury-Hall,ENG,"MF,FW",25,13,2,264,2.9,0,1,1,0,0,0,0,0.0,0.2,4,125
Chelsea,Joshua Acheampong,ENG,DF,18,4,2,170,1.9,0,0,0,0,0,0,1,0.0,0.2,4,126
Chelsea,Tyrique George,ENG,FW,18,8,1,183,2.0,1,1,2,1,0,0,1,0.0,0.2,4,127
Chelsea,Renato Veiga,POR,"DF,MF",21,7,1,181,2.0,0,0,0,0,0,0,2,0.0,0.1,4,128
Chelsea,Mykhailo Mudryk,UKR,FW,23,7,1,151,1.7,0,0,0,0,0,0,0,0.0,0.3,4,129
Chelsea,Marc Guiu,ESP,FW,18,3,0,73,0.8,0,0,0,0,0,0,0,0.0,0.0,4,130
Chelsea,Mathis Amougou,FRA,MF,18,1,0,8,0.1,0,0,0,0,0,0,0,0.0,0.0,4,131
Chelsea,Shumaira Mheuka,ENG,MF,16,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.1,4,132
Chelsea,Aaron Anselmino,ARG,DF,19,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,4,133
Chelsea,Genesis Antwi,SWE,MF,17,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,4,134
Chelsea,Marcus Bettinelli,ENG,GK,32,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,4,135
Chelsea,Cesare Casadei,ITA,MF,21,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,4,136
Chelsea,Samuel Rak-Sakyi,ENG,MF,19,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,4,137
Chelsea,Ishé Samuels-Smith,ENG,DF,18,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,4,138
Newcastle Utd,Bruno Guimarães,BRA,MF,26,38,38,3271,36.3,5,6,11,5,0,0,7,0.0,4.3,5,139
Newcastle Utd,Dan Burn,ENG,DF,32,37,37,3330,37.0,1,1,2,1,0,0,11,0.0,2.0,5,140
Newcastle Utd,Alexander Isak,SWE,FW,24,34,34,2756,30.6,23,6,29,19,4,4,1,0.0,20.3,5,141
Newcastle Utd,Fabian Schär,SUI,DF,32,34,33,2934,32.6,4,0,4,4,0,0,9,1.0,3.7,5,142
Newcastle Utd,Valentino Livramento,ENG,DF,21,37,32,2840,31.6,0,1,1,0,0,0,1,0.0,0.3,5,143
Newcastle Utd,Jacob Murphy,ENG,FW,29,35,31,2360,26.2,8,12,20,8,0,0,4,0.0,5.7,5,144
Newcastle Utd,Joelinton,BRA,"MF,FW",27,29,29,2393,26.6,4,3,7,4,0,0,10,0.0,3.9,5,145
Newcastle Utd,Sandro Tonali,ITA,MF,24,36,28,2630,29.2,4,2,6,4,0,0,5,0.0,4.4,5,146
Newcastle Utd,Nick Pope,ENG,GK,32,28,28,2520,28.0,0,0,0,0,0,0,2,0.0,0.0,5,147
Newcastle Utd,Anthony Gordon,ENG,"FW,MF",23,34,28,2434,27.0,6,5,11,5,1,2,2,0.0,8.0,5,148
Newcastle Utd,Lewis Hall,ENG,DF,19,27,24,2189,24.3,0,4,4,0,0,0,3,0.0,0.4,5,149
Newcastle Utd,Harvey Barnes,ENG,FW,26,33,17,1755,19.5,9,4,13,9,0,0,0,0.0,7.2,5,150
Newcastle Utd,Kieran Trippier,ENG,DF,33,25,14,1309,14.5,0,3,3,0,0,0,1,0.0,0.1,5,151
Newcastle Utd,Joe Willock,ENG,"MF,FW",24,32,11,1086,12.1,0,2,2,0,0,0,4,0.0,1.6,5,152
Newcastle Utd,Martin Dúbravka,SVK,GK,35,10,10,900,10.0,0,0,0,0,0,0,0,0.0,0.0,5,153
